Longitude,Latitude,Depth(km),Magnitude,DateTime
-17.9022,28.5863,9,1,2022-09-14T00:09:50Z
-17.88,28.5638,10,1,2022-09-14T00:20:51Z
-17.8699,28.5749,13,0.9,2022-09-14T01:40:30Z
-17.846,28.5624,14,2,2022-09-14T01:44:52Z
-17.8763,28.5421,11,1.1,2022-09-14T02:03:08Z
-17.877,28.5415,13,1.1,2022-09-14T03:58:59Z
-17.879,28.5974,11,1.2,2022-09-13T01:05:08Z
-17.8885,28.6185,3,1.2,2022-09-13T01:14:15Z
-17.8251,28.5625,14,1.3,2022-09-13T01:15:56Z
-17.8679,28.6365,3,0.9,2022-09-13T03:17:06Z
-17.8531,28.5538,13,1.1,2022-09-13T03:32:51Z
-17.8867,28.554,12,1.1,2022-09-13T03:33:05Z
-17.9002,28.5933,9,1.4,2022-09-13T04:30:02Z
-17.803,28.5901,11,1.2,2022-09-13T09:07:01Z
-17.8296,28.5587,15,1.3,2022-09-13T09:07:36Z
-17.8532,28.5935,11,0.9,2022-09-13T20:58:45Z
-17.8627,28.5606,11,0.8,2022-09-13T21:49:54Z
-17.814,28.5939,14,1.7,2022-09-12T09:54:51Z
-17.8873,28.6203,4,1.4,2022-09-12T20:18:20Z
-17.8964,28.6036,9,1,2022-09-12T21:48:08Z
-17.8147,28.5887,12,0.6,2022-09-11T01:35:41Z
-17.8838,28.6263,0,1.3,2022-09-11T03:39:01Z
-17.8792,28.617,0,1.8,2022-09-11T08:54:02Z
-17.9169,28.5751,10,1.3,2022-09-11T12:36:26Z
-17.8556,28.559,11,1.1,2022-09-11T18:51:24Z
-17.8748,28.5505,13,0.9,2022-09-11T22:51:45Z
-17.8835,28.5903,10,0.9,2022-09-10T03:24:03Z
-17.8888,28.6143,11,1.1,2022-09-10T06:21:32Z
-17.8686,28.5663,17,1.4,2022-09-10T07:44:05Z
-17.8098,28.5552,15,1.6,2022-09-10T17:57:23Z
-17.9071,28.5715,10,0.9,2022-09-10T23:24:01Z
-17.8622,28.5953,14,1.4,2022-09-09T22:24:59Z
-17.9149,28.578,17,1.2,2022-09-08T03:45:57Z
-17.8856,28.5352,13,1.6,2022-09-08T04:18:02Z
-17.874,28.5487,13,1.7,2022-09-08T04:19:01Z
-17.8729,28.5636,11,0.8,2022-09-08T04:21:07Z
-17.8474,28.5619,9,0.7,2022-09-08T04:21:30Z
-17.8692,28.5531,13,1.6,2022-09-08T21:17:00Z
-17.8654,28.5924,11,1.1,2022-09-07T02:03:42Z
-17.7908,28.5179,11,1.8,2022-09-07T17:09:57Z
-17.8633,28.6138,4,1.1,2022-09-07T18:53:56Z
-17.9269,28.5946,10,1.9,2022-09-07T22:20:21Z
-17.8443,28.5486,13,0.8,2022-09-06T02:10:35Z
-17.8888,28.6069,12,0.7,2022-09-06T02:13:59Z
-17.8879,28.5397,11,0.9,2022-09-06T03:35:56Z
-17.8752,28.5538,12,1.1,2022-09-06T03:45:34Z
-17.8599,28.5889,18,1.4,2022-09-06T06:25:38Z
-17.8846,28.5556,12,1.1,2022-09-06T23:58:43Z
-17.8702,28.5365,13,0.9,2022-09-05T00:57:05Z
-17.8976,28.5319,10,0.7,2022-09-05T01:00:15Z
-17.8679,28.5517,12,0.7,2022-09-05T01:03:18Z
-17.868,28.5578,13,0.7,2022-09-05T01:19:24Z
-17.9126,28.5036,11,1.1,2022-09-05T01:52:08Z
-17.8918,28.5926,8,1.2,2022-09-05T02:20:06Z
-17.8823,28.5842,11,0.5,2022-09-05T02:36:59Z
-17.8623,28.5712,9,1.7,2022-09-05T03:13:08Z
-17.8478,28.5579,10,0.7,2022-09-05T03:16:16Z
-17.867,28.4775,17,0.9,2022-09-05T03:16:58Z
-17.8615,28.5612,9,1.9,2022-09-05T03:19:35Z
-17.8539,28.5533,10,1.2,2022-09-05T03:20:08Z
-17.8766,28.5419,10,1,2022-09-05T03:23:04Z
-17.8424,28.5624,14,0.9,2022-09-05T03:24:30Z
-17.8507,28.594,7,0.7,2022-09-05T03:44:21Z
-17.865,28.5473,15,0.8,2022-09-05T03:57:36Z
-17.8097,28.5494,12,1.4,2022-09-05T04:14:31Z
-17.8518,28.5482,12,1,2022-09-05T22:26:26Z
-17.8517,28.5742,9,1.9,2022-09-05T22:36:15Z
-17.8643,28.549,10,1.4,2022-09-05T22:37:25Z
-17.8831,28.5546,10,1.1,2022-09-05T22:39:00Z
-17.8872,28.5256,10,1.4,2022-09-05T22:39:05Z
-17.8544,28.5556,12,1.1,2022-09-04T01:24:25Z
-17.8891,28.5998,15,1.4,2022-09-04T04:37:59Z
-17.8776,28.5394,11,1.6,2022-09-04T09:16:45Z
-17.8577,28.6017,10,1.1,2022-09-04T21:03:02Z
-17.8581,28.6164,4,0.7,2022-09-04T21:50:49Z
-17.8318,28.571,14,1.4,2022-09-04T23:16:06Z
-17.8587,28.4899,17,1.3,2022-09-03T00:34:17Z
-17.8802,28.5424,11,0.9,2022-09-03T00:34:36Z
-17.8612,28.5179,14,1.5,2022-09-03T00:35:40Z
-17.8798,28.5998,9,0.8,2022-09-03T02:01:55Z
-17.8566,28.5251,16,1.2,2022-09-03T02:34:00Z
-17.866,28.5281,11,1.2,2022-09-03T03:52:42Z
-17.9049,28.5303,10,1.1,2022-09-03T05:49:45Z
-17.8717,28.6035,6,0.8,2022-09-03T15:12:15Z
-17.8092,28.6109,4,0.6,2022-09-02T02:03:17Z
-17.8504,28.557,11,1.1,2022-09-02T02:30:39Z
-17.875,28.5406,11,1.3,2022-09-02T02:33:50Z
-17.8508,28.558,11,1.1,2022-09-02T02:34:29Z
-17.8693,28.5444,12,1,2022-09-02T02:34:52Z
-17.8584,28.5483,13,0.8,2022-09-02T02:35:48Z
-17.8619,28.5535,13,1,2022-09-02T02:38:07Z
-17.8524,28.5572,10,1.6,2022-09-02T02:38:55Z
-17.8406,28.5775,7,1.1,2022-09-02T02:55:33Z
-17.8358,28.577,7,1.4,2022-09-02T02:55:49Z
-17.8439,28.5803,7,1.2,2022-09-02T02:56:20Z
-17.884,28.5701,8,1.6,2022-09-01T01:59:06Z
-17.9042,28.5548,12,0.9,2022-09-01T02:28:11Z
-17.8615,28.6306,3,1,2022-09-01T03:52:01Z
-17.9005,28.5927,5,1.6,2022-09-01T06:02:20Z
-17.8758,28.542,13,1.5,2022-09-01T20:47:28Z
-17.9085,28.5465,12,1.3,2022-09-01T20:49:08Z
-17.8486,28.5637,11,0.9,2022-09-01T20:55:58Z
-17.8871,28.6222,0,1.1,2022-09-01T22:15:48Z
-17.9051,28.5519,13,1.1,2022-08-31T22:16:57Z
-17.8567,28.544,12,0.7,2022-08-31T22:19:10Z
-17.8591,28.5536,12,1.1,2022-08-31T22:19:56Z
-17.8537,28.5335,14,1.2,2022-08-31T22:20:55Z
-17.8679,28.5471,13,1.5,2022-08-31T22:21:10Z
-17.8764,28.535,14,1.3,2022-08-31T22:21:34Z
-17.8843,28.5364,13,1.3,2022-08-31T22:21:46Z
-17.8654,28.5434,13,0.9,2022-08-31T22:22:23Z
-17.8804,28.541,12,1.2,2022-08-31T22:22:32Z
-17.8712,28.5434,12,1.6,2022-08-31T22:23:09Z
-17.8459,28.577,11,1.4,2022-08-30T00:58:18Z
-17.8881,28.5509,14,1.2,2022-08-30T01:14:10Z
-17.8637,28.5219,9,1.4,2022-08-30T01:20:13Z
-17.896,28.6659,12,1.1,2022-08-30T01:45:22Z
-17.9007,28.6357,11,1.3,2022-08-30T04:33:29Z
-17.8976,28.5601,10,0.7,2022-08-30T04:37:15Z
-17.9152,28.562,9,2.1,2022-08-30T04:41:04Z
-17.9188,28.5501,8,2,2022-08-30T04:41:33Z
-17.8528,28.5488,11,1.1,2022-08-30T05:42:47Z
-17.9076,28.5864,12,1.5,2022-08-30T09:24:54Z
-17.8584,28.6071,9,1.4,2022-08-30T17:25:13Z
-17.8815,28.4978,16,1.4,2022-08-30T21:46:41Z
-17.866,28.5399,14,0.9,2022-08-30T21:47:07Z
-17.8625,28.6306,8,1.2,2022-08-30T22:34:43Z
-17.892,28.556,9,1.4,2022-08-30T23:31:43Z
-17.891,28.5978,8,1.8,2022-08-29T01:34:45Z
-17.8672,28.5576,10,1.9,2022-08-29T06:04:12Z
-17.8861,28.6168,3,1.6,2022-08-29T16:50:46Z
-17.8588,28.5816,12,1.1,2022-08-29T22:14:26Z
-17.7746,28.6352,14,1.5,2022-08-28T14:23:50Z
-17.8669,28.5535,13,1.4,2022-08-28T21:29:21Z
-17.8552,28.5578,11,1.1,2022-08-28T21:33:45Z
-17.8752,28.5466,11,1.1,2022-08-28T21:35:25Z
-17.8817,28.5396,14,1.5,2022-08-28T21:37:24Z
-17.8574,28.5626,15,1.3,2022-08-28T21:38:12Z
-17.8764,28.5509,12,1.4,2022-08-28T21:38:46Z
-17.8446,28.5361,17,1.4,2022-08-28T21:53:51Z
-17.8874,28.5338,10,1.3,2022-08-27T01:42:33Z
-17.8635,28.6129,5,1,2022-08-27T04:01:16Z
-17.8729,28.5767,10,1.7,2022-08-27T18:17:22Z
-17.926,28.5575,10,1.3,2022-08-26T02:18:57Z
-17.8328,28.5614,11,1.4,2022-08-26T21:57:02Z
-17.8841,28.5319,12,1.3,2022-08-26T21:57:35Z
-17.862,28.5461,13,0.8,2022-08-25T02:31:57Z
-17.8713,28.5385,12,1.3,2022-08-25T03:40:46Z
-17.8826,28.6249,2,1,2022-08-25T04:07:40Z
-17.8594,28.5986,9,1.7,2022-08-25T11:38:08Z
-17.856,28.5689,14,1.8,2022-08-25T19:30:38Z
-17.882,28.5411,13,1.4,2022-08-25T21:43:38Z
-17.8707,28.5408,10,1.5,2022-08-24T00:19:18Z
-17.8669,28.5506,11,1.7,2022-08-24T00:20:43Z
-17.8846,28.5758,11,1,2022-08-24T00:23:25Z
-17.8338,28.5649,13,1,2022-08-24T04:29:27Z
-17.87,28.598,9,1.1,2022-08-24T17:44:25Z
-17.9196,28.5683,10,1.4,2022-08-23T10:45:38Z
-17.8566,28.6203,8,1.4,2022-08-23T15:59:37Z
-17.8458,28.5667,11,1.3,2022-08-23T20:06:16Z
-17.8709,28.5503,13,1.4,2022-08-23T20:06:47Z
-17.8654,28.5489,13,1.3,2022-08-23T20:06:55Z
-17.8668,28.5464,13,1.3,2022-08-23T20:07:37Z
-17.8568,28.5692,11,1.2,2022-08-23T20:14:19Z
-17.8558,28.5555,11,1.1,2022-08-23T20:18:28Z
-17.8628,28.5542,12,0.9,2022-08-23T20:19:36Z
-17.8853,28.6267,10,1,2022-08-23T23:11:51Z
-17.8331,28.5756,13,1.4,2022-08-23T23:49:36Z
-17.7506,28.6172,13,1.4,2022-08-21T03:49:08Z
-17.8314,28.5511,14,0.9,2022-08-21T05:03:29Z
-17.8491,28.5688,11,0.9,2022-08-21T05:03:41Z
-17.8491,28.5623,12,1.1,2022-08-21T05:04:06Z
-17.8735,28.5801,9,1.1,2022-08-21T05:05:01Z
-17.864,28.5541,12,1.1,2022-08-21T05:08:35Z
-17.9038,28.5886,12,1.5,2022-08-21T05:26:00Z
-17.8545,28.5642,11,1.1,2022-08-21T05:31:57Z
-17.8337,28.5888,15,1.2,2022-08-21T06:15:10Z
-17.8902,28.6284,0,0.8,2022-08-21T06:51:37Z
-17.9418,28.6411,14,1.8,2022-08-21T13:57:04Z
-17.9849,28.6028,10,1.5,2022-08-21T14:13:14Z
-17.8762,28.5686,11,0.7,2022-08-20T01:12:11Z
-17.8505,28.5443,14,1.6,2022-08-20T10:49:01Z
-17.8725,28.613,2,1.2,2022-08-20T12:49:26Z
-17.8767,28.5506,11,1.4,2022-08-20T18:45:38Z
-17.8948,28.5356,12,1.4,2022-08-20T23:33:56Z
-17.8403,28.5652,11,1.1,2022-08-19T05:39:29Z
-17.8597,28.5402,14,1.4,2022-08-19T05:58:08Z
-17.8931,28.5654,11,2.1,2022-08-18T00:10:01Z
